phrygian,D,D#/Eb,F,G,A,A#/Bb,C,D
phrygian,D#/Eb,E,F#/Gb,G#/Ab,A#/Bb,B,C#/Db,D#/Eb
phrygian,E,F,G,A,B,C,D,E
phrygian,F,F#/Gb,G#/Ab,A#/Bb,C,C#/Db,D#/Eb,F
phrygian,F#/Gb,G,A,B,C#/Db,D,E,F#/Gb
phrygian,G,G#/Ab,A#/Bb,C,D,D#/Eb,F,G
phrygian,G#/Ab,A,B,C#/Db,D#/Eb,E,F#/Gb,G#/Ab
dorian,A,B,C,D,E,F#/Gb,G,A
dorian,A#/Bb,C,C#/Db,D#/Eb,F,G,G#/Ab,A#/Bb
dorian,B,C#/Db,D,E,F#/Gb,G#/Ab,A,B
dorian,C,D,D#/Eb,F,G,A,A#/Bb,C
dorian,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A#/Bb,B,C#/Db
dorian,D,E,F,G,A,B,C,D
dorian,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,C,C#/Db,D#/Eb
dorian,E,F#/Gb,G,A,B,C#/Db,D,E
dorian,F,G,G#/Ab,A#/Bb,C,D,D#/Eb,F
dorian,F#/Gb,G#/Ab,A,B,C#/Db,D#/Eb,E,F#/Gb
dorian,G,A,A#/Bb,C,D,E,F,G
dorian,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,F,F#/Gb,G#/Ab
lydian,A,B,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A
lydian,A#/Bb,C,D,E,F,G,A,A#/Bb
lydian,B,C#/Db,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,B
lydian,C,D,E,F#/Gb,G,A,B,C
lydian,C#/Db,D#/Eb,F,G,G#/Ab,A#/Bb,C,C#/Db
lydian,D,E,F#/Gb,G#/Ab,A,B,C#/Db,D
lydian,D#/Eb,F,G,A,A#/Bb,C,D,D#/Eb
lydian,E,F#/Gb,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,E
lydian,F,G,A,B,C,D,E,F
lydian,F#/Gb,G#/Ab,A#/Bb,C,C#/Db,D#/Eb,F,F#/Gb
lydian,G,A,B,C#/Db,D,E,F#/Gb,G
lydian,G#/Ab,A#/Bb,C,D,D#/Eb,F,G,G#/Ab
ionian,A,B,C#/Db,D,E,F#/Gb,G#/Ab,A
ionian,A#/Bb,C,D,D#/Eb,F,G,A,A#/Bb
ionian,B,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A#/Bb,B
ionian,C,D,E,F,G,A,B,C
ionian,C#/Db,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,C,C#/Db
ionian,D,E,F#/Gb,G,A,B,C#/Db,D
ionian,D#/Eb,F,G,G#/Ab,A#/Bb,C,D,D#/Eb
ionian,E,F#/Gb,G#/Ab,A,B,C#/Db,D#/Eb,E
ionian,F,G,A,A#/Bb,C,D,E,F
ionian,F#/Gb,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,F,F#/Gb
ionian,G,A,B,C,D,E,F#/Gb,G
ionian,G#/Ab,A#/Bb,C,C#/Db,D#/Eb,F,G,G#/Ab
aeolian,A,B,C,D,E,F,G,A
aeolian,A#/Bb,C,C#/Db,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb
aeolian,B,C#/Db,D,E,F#/Gb,G,A,B
aeolian,C,D,D#/Eb,F,G,G#/Ab,A#/Bb,C
aeolian,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A,B,C#/Db
aeolian,D,E,F,G,A,A#/Bb,C,D
aeolian,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,B,C#/Db,D#/Eb
aeolian,E,F#/Gb,G,A,B,C,D,E
aeolian,F,G,G#/Ab,A#/Bb,C,C#/Db,D#/Eb,F
aeolian,F#/Gb,G#/Ab,A,B,C#/Db,D,E,F#/Gb
aeolian,G,A,A#/Bb,C,D,D#/Eb,F,G
aeolian,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,E,F#/Gb,G#/Ab
locrian,A,A#/Bb,C,D,D#/Eb,F,G,A
locrian,A#/Bb,B,C#/Db,D#/Eb,E,F#/Gb,G#/Ab,A#/Bb
locrian,B,C,D,E,F,G,A,B
locrian,C,C#/Db,D#/Eb,F,F#/Gb,G#/Ab,A#/Bb,C
locrian,C#/Db,D,E,F#/Gb,G,A,B,C#/Db
locrian,D,D#/Eb,F,G,G#/Ab,A#/Bb,C,D
locrian,D#/Eb,E,F#/Gb,G#/Ab,A,B,C#/Db,D#/Eb
locrian,E,F,G,A,A#/Bb,C,D,E
locrian,F,F#/Gb,G#/Ab,A#/Bb,B,C#/Db,D#/Eb,F
locrian,F#/Gb,G,A,B,C,D,E,F#/Gb
locrian,G,G#/Ab,A#/Bb,C,C#/Db,D#/Eb,F,G
locrian,G#/Ab,A,B,C#/Db,D,E,F#/Gb,G#/Ab
minor pentatonic,A,C,D,E,G,A
minor pentatonic,A#/Bb,C#/Db,D#/Eb,F,G#/Ab,A#/Bb
minor pentatonic,B,D,E,F#/Gb,A,B
minor pentatonic,C,D#/Eb,F,G,A#/Bb,C
minor pentatonic,C#/Db,E,F#/Gb,G#/Ab,B,C#/Db
minor pentatonic,D,F,G,A,C,D
minor pentatonic,D#/Eb,F#/Gb,G#/Ab,A#/Bb,C#/Db,D#/Eb
minor pentatonic,E,G,A,B,D,E
minor pentatonic,F,G#/Ab,A#/Bb,C,D#/Eb,F
minor pentatonic,F#/Gb,A,B,C#/Db,E,F#/Gb
minor pentatonic,G,A#/Bb,C,D,F,G
minor pentatonic,G#/Ab,B,C#/Db,D#/Eb,F#/Gb,G#/Ab
chromatic,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A
chromatic,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb
chromatic,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B
chromatic,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C
chromatic,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db
chromatic,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D
chromatic,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb
chromatic,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E
chromatic,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F
chromatic,F#/Gb,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb
chromatic,G,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G
chromatic,G#/Ab,A,A#/Bb,B,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab
